	colony	sampling	tank
M1B1	C1	T2	control
M1D1	C1	T2	control
M2A1pb	C2	T2	control
M1G1b	C1	T2	treat
M2F1	C2	T2	treat
M2J1	C2	T2	treat
M1A1p	C1	T1	control
M1C1p	C1	T1	control
M1E1p	C1	T1	control
M1F1p	C1	T1	treat
M1H1p	C1	T1	treat
M1J2	C1	T1	treat
M2B1p	C2	T1	control
M2D1p	C2	T1	control
M2G1p	C2	T1	treat
M2I1p	C2	T1	treat
